,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory(in GB),Gpu,OpSys,Weight,Price
476,HP,Notebook,14,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8GB,2000 HDD,Intel HD Graphics 405,Windows 10,1.94kg,20725.92
477,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6GB,256 SSD,AMD Radeon 530,Windows 10,1.95kg,34578.72
478,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.3kg,44222.4
479,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,2.05kg,36496.8
480,Mediacom,Notebook,14,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4GB,32 SSD,Intel HD Graphics,Windows 10,1.4kg,13266.72
481,Toshiba,Ultrabook,14,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.24kg,99367.2
482,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,AMD Radeon R5 M430,Linux,2.2kg,39907.2528
483,Mediacom,Notebook,14,IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32 SSD,Intel HD Graphics 500,Windows 10,1.45kg,20725.92
484,Dell,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,8GB,500 HDD,Intel HD Graphics 620,Windows 10,1.9kg,53733.9456
485,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10,1.49kg,38308.32
486,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256 SSD,Nvidia GeForce 930MX,Windows 10,1.93kg,81912.1392
487,Dell,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16 Flash Storage,Intel HD Graphics 400,Chrome OS,1.26kg,15717.6
488,Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,12GB,256 SSD,Intel HD Graphics 520,Windows 10,1.4kg,89137.44
489,Lenovo,Notebook,15.6,Touchscreen 1366x768,Intel Core i7 8550U 1.8GHz,12GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.2kg,32447.52
490,Asus,2 in 1 Convertible,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.2kg,39373.92
491,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,512 SSD,AMD Radeon 530,Windows 10,2.2kg,50562.72
492,Dell,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Core M 7Y30 1.0GHz,4GB,128 SSD,Intel HD Graphics 615,Windows 10,1.39kg,32127.84
493,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,No OS,2.8kg,28185.12
494,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6100U 2.3GHz,8GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.29kg,24455.52
495,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.37kg,107892
496,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Intel HD Graphics 630,Windows 10,1.7kg,78534.72
497,Dell,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.34kg,88977.6
498,Dell,Workstation,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia Quadro M620,Windows 10,2.06kg,93932.64
499,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.84kg,64948.32
500,HP,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,2.1kg,35616.6144
501,Acer,Notebook,14,Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.6kg,17529.12
502,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1000 HDD,AMD Radeon R5 M420,Linux,2.18kg,24775.2
503,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,2.2kg,74538.72
504,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.4kg,30049.92
505,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Intel HD Graphics 630,Windows 10,2kg,69210.72
506,Acer,Notebook,14,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128 Flash Storage,Intel HD Graphics 405,Windows 10,1.6kg,18594.72
507,Lenovo,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Xeon E3-1535M v6 3.1GHz,32GB,1000 SSD,Nvidia Quadro M2200M,Windows 10,2.5kg,261018.72
508,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,1000 HDD,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.59kg,46833.6528
509,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1000 HDD,Intel HD Graphics 520,Linux,2.18kg,23650.992
510,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1000 HDD,Intel HD Graphics 520,Linux,2.25kg,19127.52
511,Dell,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,4GB,500 HDD,Intel HD Graphics 620,Linux,1.93kg,46300.32
512,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128 SSD,AMD Radeon R5 M420,Linux,2.18kg,30316.32
513,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.84kg,74005.92
514,Acer,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Quad Core N3160 1.6GHz,4GB,32 Flash Storage,Intel HD Graphics 400,Chrome OS,1.25kg,20193.12
515,HP,Notebook,14,1366x768,Intel Core i5 7300U 2.6GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.31kg,59886.72
516,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 7,1.65kg,78055.2
517,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,1000 HDD,AMD Radeon 530,Windows 10,2.2kg,41345.28
518,Fujitsu,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.2kg,42570.72
519,HP,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 7,1.88kg,49656.96
520,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,Nvidia GeForce 920MX,Windows 10,2.2kg,47898.72
521,Mediacom,Notebook,14,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,2GB,32 Flash Storage,Intel HD Graphics,Windows 10,1.4kg,12733.92
522,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128 SSD,Intel HD Graphics 620,No OS,2.2kg,24935.04
523,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,1000 HDD,Intel HD Graphics 620,Windows 10,1.5kg,34046.4528
524,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2kg,96969.6
525,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.1kg,101232
526,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.8kg,44169.12
527,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Nvidia GeForce 920MX ,Windows 10,2.2kg,30849.12
528,Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,1000 HDD,Intel HD Graphics 500,Windows 10,2kg,21258.72
529,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,1.99kg,48304.7136
530,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.23kg,99580.32
531,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32 Flash Storage,Intel HD Graphics 400,Windows 10,1.42kg,13266.72
532,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.37kg,93635.3376
533,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,1000 SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,127818.72
534,HP,Notebook,17,1600x900,AMD A9-Series 9420 3GHz,8GB,1000 HDD,AMD Radeon R5,Windows 10,2.6kg,27753.552
535,Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.14kg,130536
536,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050 Ti,No OS,2.5kg,62284.32
537,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,2.4kg,23976
538,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32 Flash Storage,Intel HD Graphics,Windows 10,1.43kg,14598.72
539,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel Graphics 620,Windows 10,1.8kg,48964.32
540,Razer,Gaming,14,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256 SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,138474.72
541,Toshiba,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.2kg,64628.64
542,Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.36kg,84395.52
543,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32GB,512 SSD,Nvidia GeForce GTX 1080,Windows 10,3.8kg,149130.72
544,Acer,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,37775.52
545,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.2kg,77250.672
546,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,No OS,1.86kg,19441.872
547,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500 HDD,Intel HD Graphics 620,Windows 10,2.0kg,56689.92
548,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon 530,Windows 10,2.2kg,48964.32
549,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.56kg,65481.12
550,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500 HDD,Intel HD Graphics 500,Windows 10,2.2kg,22324.32
551,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,2.2kg,28504.8
552,HP,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,6GB,1000 HDD,AMD Radeon R5 M430,Windows 10,2.04kg,28717.92
553,Toshiba,Notebook,15.6,1366x768,Intel Core i3 6100U 2.1GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,2.1kg,26533.44
554,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.06kg,50882.4
555,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,AMD Radeon 530,Windows 10,2.1kg,39693.6
556,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.0kg,67026.24
557,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,Linux,2.1kg,21951.36
558,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7600U 2.8GHz,8GB,256 SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.252kg,99519.048
559,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.3kg,55091.52
560,Lenovo,Notebook,15.6,1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128 SSD,AMD Radeon R2 Graphics,Windows 10,2.2kg,18594.72
561,HP,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128 SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,37242.72
562,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.1kg,60472.8
563,HP,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,64 Flash Storage,Intel HD Graphics 500,Chrome OS,1.4kg,26373.6
564,LG,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.09kg,122490.72
565,Acer,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16GB,256 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,69210.72
566,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,53168.112
567,Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,128 SSD,Intel HD Graphics 500,Windows 10,1.86kg,22324.32
568,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256 SSD,AMD Radeon R5 520,Windows 10,2.5kg,37242.72
569,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.19kg,79866.72
570,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500 HDD,AMD Radeon 520,Windows 10,1.86kg,32639.8608
571,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1000 HDD,AMD Radeon R5 M430,Windows 10,2.2kg,29073.2976
572,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,2000 HDD,AMD Radeon R7 M440,Windows 10,2.65kg,30316.32
573,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,500 HDD,Intel HD Graphics 510,Windows 10,2.1kg,16943.04
574,Acer,Notebook,14,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,32 Flash Storage,Intel HD Graphics 510,Chrome OS,1.45kg,19980
575,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256 SSD,Intel HD Graphics 620,Windows 10,1.7kg,37242.72
576,HP,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,500 HDD,Nvidia Quadro M1200,Windows 10,3.14kg,101657.7072
577,Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.42kg,137995.2
578,Toshiba,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.5kg,51841.44
579,Acer,Netbook,11.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,32 Flash Storage,Intel HD Graphics,Windows 10,1.4kg,14332.32
580,Lenovo,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.38kg,93186.72
581,Asus,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9GHz,4GB,64 Flash Storage,Intel HD Graphics 515,Chrome OS,1.2kg,35644.32
582,Toshiba,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512 SSD,Intel HD Graphics 520,Windows 10,1.36kg,100006.56
583,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,500 HDD,AMD Radeon 530,Windows 10,2.1kg,36709.92
584,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,43636.32
585,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4GB,256 SSD,AMD Radeon 530,Windows 10,2.2kg,21258.72
586,Lenovo,Notebook,15.6,1366x768,AMD A12-Series 9720P 3.6GHz,8GB,1000 HDD,AMD Radeon R7,Windows 10,2.2kg,22857.12
587,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,No OS,1.90kg,23976
588,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.18kg,42357.6
589,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.6kg,53226.72
590,Lenovo,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512 SSD,Nvidia Quadro M520M,Windows 7,2.18kg,98834.4
591,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.8kg,63456.48
592,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6GB,2000 HDD,AMD Radeon 530,Windows 10,2.71kg,34898.9328
593,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce 930MX,Linux,1.64kg,58021.92
594,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Linux,1.98kg,38681.28
595,Asus,Notebook,14,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,15877.44
596,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.93kg,76012.4448
597,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce 920MX,Windows 10,1.87kg,45664.6896
598,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.9kg,62817.12
599,Lenovo,Notebook,15.6,1366x768,AMD A6-Series 7310 2GHz,4GB,500 HDD,AMD Radeon R4,Windows 10,2.19kg,15877.44
600,Mediacom,Notebook,14,IPS Panel Full HD 1920x1200,Intel Atom Z8350 1.92GHz,4GB,32 HDD,Intel HD Graphics 400,Windows 10,1.4kg,14119.2
601,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Nvidia GeForce 930MX,Windows 10,2.63kg,63936
602,Lenovo,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,8GB,512 SSD,Intel HD Graphics 520,Windows 10,1.17kg,89864.1792
603,HP,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.58kg,44574.048
604,Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.32kg,79866.72
605,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1000 HDD,Intel HD Graphics 620,No OS,1.9kg,26101.872
606,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,1.71kg,34578.72
607,Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,AMD Radeon R7 M445,Linux,2.32kg,31409.6256
608,HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,1000 HDD,AMD Radeon 520,Windows 10,2.1kg,26053.92
609,Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,12GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.25kg,34578.72
610,Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,2.4kg,29783.52
611,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.44kg,51148.8
612,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,1.85kg,41505.12
613,HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256 SSD,Nvidia Quadro M2200,Windows 10,2.6kg,128884.32
614,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,Intel UHD Graphics 620,Windows 10,1.55kg,35111.52
615,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,2.4kg,21887.424
616,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,2kg,35431.2
617,Toshiba,Notebook,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.25kg,81784.8
618,Lenovo,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.7kg,53226.72
619,Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,1000 SSD,Nvidia Quadro M520M,Windows 10,2.5kg,175770.72
620,Acer,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32 Flash Storage,Intel HD Graphics 400,Chrome OS,1.68kg,17582.4
621,Samsung,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256 SSD,Intel HD Graphics 620,Windows 10,0.81kg,87858.72
622,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.86kg,28717.92
623,Dell,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.6kg,60031.1088
624,HP,Workstation,17.3,IPS Panel Full HD 1920x1080,Intel Xeon E3-1535M v5 2.9GHz,16GB,256 SSD,Nvidia Quadro M2000M,Windows 7,3kg,233845.92
625,Lenovo,Netbook,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128 SSD,Intel HD Graphics 400,Windows 10,1.4kg,25308
626,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.84kg,101232
627,Asus,Notebook,15.6,1366x768,Intel Core i5 6300HQ 2.3GHz,4GB,1000 HDD,Nvidia GeForce GTX 950M,No OS,2.45kg,30849.12
628,Lenovo,Ultrabook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,180 SSD,Intel HD Graphics 520,Windows 10,1.7kg,58394.88
629,Asus,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,4GB,256 SSD,Intel HD Graphics 620,Windows 10,2.37kg,45282.672
630,Lenovo,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i5 6260U 1.8GHz,8GB,256 SSD,Intel HD Graphics 540,Windows 10,1.3kg,63882.72
631,HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,256 SSD,Nvidia Quadro M1000M,Windows 7,2.59kg,83170.08
632,Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256 SSD,Intel HD Graphics 620,Windows 10,2.1kg,31914.72
633,Dell,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256 SSD,Intel HD Graphics 620,Windows 10,1.18kg,99047.52
634,Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,256 SSD,Intel HD Graphics 615,Chrome OS,1.1kg,83063.52
